title,artist,album,isrc,genre
Civil War,Guns N' Roses,Use Your Illusion II,USGF19142001,Music > Rock > Hard Rock > Hard Rock (Standard)
Buscare Otro Amor,Los Inquietos Del Vallenato,Por Siempre,COC011308939,Music > Roots > Folk > Latin Folk > Vallenato
Break on Through (To the Other Side) ,The Doors,The Doors ,USRH11605697,Music > Rock > Psychedelic Rock
Beetlebum,Blur,Blur,GBAYE1400840,Music > Rock > Indie Rock
Bad Obsession,Guns N' Roses,Use Your Illusion I,USGF19141507,Music > Rock > Hard Rock > Hard Rock (Standard)
Back Off Bitch,Guns N' Roses,Use Your Illusion I,USGF19141508,Music > Rock > Hard Rock > Hard Rock (Standard)
Apocalypse,Cigarettes After Sex,Cigarettes After Sex,USBQU1700034,Music > Rock > Indie Rock
Añorando Tus Besos,Los Cadetes De Linares,15 Norteñas De Oro,QM6DC1877595,Music > Roots > Regional Mexicano > Norteño
"Another Brick in the Wall, Pt. 2",Pink Floyd,A Foot in the Door: The Best of Pink Floyd,GBN9Y1100099,Music > Rock > Progressive Rock
"Another Brick in the Wall, Pt. 2",Pink Floyd,A Foot in the Door: The Best of Pink Floyd,GBN9Y1100099,Music > Rock > Psychedelic Rock
An End Has a Start,Editors,Black Gold : Best of Editors,GBGAC0700016,Music > Rock > Post-Punk
A Great Snake,The Lemon Twigs,Do Hollywood,GBAFL1600340,Music > Rock > Indie Rock
A Great Snake,The Lemon Twigs,Do Hollywood,GBAFL1600340,Music > Rock > Progressive Rock
(I Can't Get No) Satisfaction,The Rolling Stones,Big Hits (High Tide And Green Grass - HD 176kHz/24-bit),USA176510160,Music > Rock > Blues Rock
Heroes,David Bowie,Heroes,USJT11700025,Music > Rock > Psychedelic Rock
Olvídate que yo Existí,William Carrascal,La Caimana,QZYFZ2410717,Music > Roots > Folk > Latin Folk > Vallenato
Is My Love Enough?,White Lies,Friends,GB5KW1600965,Music > Rock > Post-Punk
Hold Back Your Love,White Lies,Friends,GB5KW1600963,Music > Rock > Post-Punk
Damn The River,The Phoenix Foundation,Pegasus,NZFM00500891,Music > Rock > Indie Rock
Cursed Mirror,Superchunk,Come Pick Me Up (Remastered),USMRG1516303,Music > Rock > Indie Rock
Tal Vez (20 Aniversario Edición Remasterizado),Solido,Vuelve (20 Aniversario Edición Remasterizado),USG2M2300005,Music > Roots > Regional Mexicano > Texano
Hasta La CIma Del Cielo (Edición Aniversario Remasterizado),Solido,Hasta La Cima Del Cielo (Edición Aniversario Remasterizado),USG2M2200014,Music > Roots > Regional Mexicano > Texano
Still New,Smith Westerns,Dye It Blonde,USFP71023502,Music > Rock > Indie Rock
Smile,Smith Westerns,Dye It Blonde,USFP71023508,Music > Rock > Indie Rock
Only One,Smith Westerns,Dye It Blonde,USFP71023507,Music > Rock > Indie Rock
Fallen in Love,Smith Westerns,Dye It Blonde,USFP71023505,Music > Rock > Indie Rock
Seca Tus Lagrimas,Silvio Brito y Osmel Meriño,Con Mas Sentimiento,ES71G1752655,Music > Roots > Folk > Latin Folk > Vallenato
Head In The Sand,Pop Unknown,Deep Elm Records Sampler 2 - Records For The Working Class No. 2,US4KH1038506,Music > Rock > Indie Rock
Zond,Pond,Man It Feels Like Space Again,AUUM71401711,Music > Rock > Psychedelic Rock
Waiting Around For Grace,Pond,Man It Feels Like Space Again,AUUM71401708,Music > Rock > Psychedelic Rock
Sitting Up On Our Crane,Pond,Man It Feels Like Space Again,AUUM71401713,Music > Rock > Psychedelic Rock
Holding Out For You,Pond,Man It Feels Like Space Again,AUUM71401710,Music > Rock > Psychedelic Rock
Elvis' Flaming Star,Pond,Man It Feels Like Space Again,AUUM71401709,Music > Rock > Psychedelic Rock
Why Doesn't Anybody Like Me,No Use For A Name,More Betterness!,USFW40459305,Music > Rock > Pop Punk
You Have Killed Me,Morrissey,Ringleader of the Tormentors,GBAJE0600100,Music > Rock > Indie Rock
"Irish Blood, English Heart",Morrissey,You Are the Quarry,GBAJE0400231,Music > Rock > Indie Rock
The First Of The Gang To Die,Morrissey,You Are the Quarry,GBAJE0400237,Music > Rock > Indie Rock
Cómo Olvidarte,Luz Mabel,Como Olvidarte,USR010615641,Music > Roots > Folk > Latin Folk > Vallenato
Diez Segundos,Los Gigantes del Vallenato,Son Los Gigantes,QMBZ91628155,Music > Roots > Folk > Latin Folk > Vallenato
Love Will Tear Us Apart ,Joy Division,Love Will Tear Us Apart ,GBAHT2000137,Music > Rock > Post-Punk
New Town Velocity,Johnny Marr,The Messenger,GBUM81200011,Music > Rock > Indie Rock
Sigue,Felipe Peláez,Deseos,COC019823793,Music > Roots > Folk > Latin Folk > Vallenato
Final De Aquella Historia,Felipe Peláez,Deseos,COC019823789,Music > Roots > Folk > Latin Folk > Vallenato
Sin Ti No Hay Vida,Luis Mateus,Historia Musical de Luis Mateus y la Nueva Generación,COF019804335,Music > Roots > Folk > Latin Folk > Vallenato
La Decision,Conjunto Oro,24K,BK4DA2500150,Music > Roots > Regional Mexicano > Norteño
Last Year's Disco Guitars,Bishop Morocco,Bishop Morocco,CAHL41000905,Music > Rock > Post-Punk
All Die Young,Smith Westerns,Dye It Blonde,USFP71023504,Music > Rock > Indie Rock
Abrázame Y Bésame,Bobby Pulido,Abrázame Y Bésame,MXUM72501515,Music > Roots > Regional Mexicano > Texano
