ISRC,Id Titulo,Título,Versión del título,Id Artista,Artista,Disco,Tipo Disco,Versión del disco,maximum_bit_depth,maximum_sampling_rate,maximum_channel_count,Es favorito
QZHZ62056773,159077867,Mi Diosa  Humana,,239331,Miguel Morales,Miguel Morales Concierto Online,Studio,,24,48.0,2,False
COC019422073,252397157,Mi Diosa Humana,,239331,Miguel Morales,Avanzando,Studio,,24,44.1,2,True
GBCAD2300788,248761847,Monkey Gone to Heaven,Mark Goodier Session (18th August 1990),384655,Pixies,"Pixies at the BBC, 1988-91",Studio,,24,96.0,2,False
GBAFL9700103,2535044,Monkey Gone to Heaven,,384655,Pixies,Doolittle,Studio,,16,44.1,2,True
USTC30737306,125432992,Nuestra Canción,,170804,La Mafia,Nuevamente,Studio,,24,44.1,2,False
USSD19100696,86003,Nuestra Cancion,Album Version,170804,La Mafia,Estas Tocando Fuego,Studio,,16,44.1,2,True
MXF152500235,313934587,Nunca Niegues Que Te Amo,,3634604,Los Inquietos Del Vallenato,Vallenatos Norteños,Studio,,24,48.0,2,False
COC011308930,291137773,Nunca Niegues Que Te Amo,,3634604,Los Inquietos Del Vallenato,Presente y Futuro,Studio,,16,44.1,2,True
MXUM70801199,34127759,Por Qué Tuvo Que Ser,Album Version,296858,El Poder Del Norte,A Ellas,Studio,,16,44.1,2,True
USTC30737281,125432997,Qué Haré Yo,,170804,La Mafia,Nuevamente,Studio,,24,44.1,2,False
USSD19202145,86837,Que Hare Yo,Album Version,170804,La Mafia,Ahora y Siempre,Studio,,16,44.1,2,True
FR10S2221773,144098374,Sexo Pudor y Lagrimas,Banda Sonora De la Película,68081,Aleks Syntek,Sexo Pudor y Lagrimas,Studio,Banda Sonora De la Película,24,48.0,2,False
MXF069990152,4612323,Sexo Pudor Y Lágrimas,,68081,Aleks Syntek,"Sexo, Pudor Y Lagrimas: Remixes",Studio,,16,44.1,2,True
QZHZ62056777,159077870,Sirena Encantada,,239331,Miguel Morales,Miguel Morales Concierto Online,Studio,,24,48.0,2,False
COC019522545,252397346,Sirena Encantada,,239331,Miguel Morales,Gracias Mi Gente,Studio,,24,44.1,2,True
USZXT2350762,203339149,Sit Down,Orchestral Version,45297,James,Be Opened By The Wonderful,Studio,Orchestral Version,24,48.0,2,False
GBF089090155,2400252,Sit Down,Album Version,45297,James,Gold Mother,Studio,,16,44.1,2,True
